iter	Passed	Remaining
143	1061	2625
144	1067	2613
145	1073	2603
146	1079	2592
147	1085	2582
148	1092	2573
149	1098	2563
150	1105	2555
151	1110	2542
152	1117	2534
153	1122	2522
154	1128	2510
155	1134	2502
156	1140	2491
157	1147	2482
158	1152	2472
159	1159	2462
160	1165	2454
161	1171	2444
162	1177	2434
163	1183	2424
164	1189	2415
165	1195	2405
166	1201	2394
167	1207	2386
168	1213	2375
169	1218	2365
170	1224	2355
171	1230	2345
172	1236	2336
173	1241	2326
174	1247	2316
175	1253	2307
176	1259	2298
177	1265	2288
178	1271	2280
179	1278	2273
180	1282	2260
181	1288	2251
182	1294	2241
183	1300	2233
184	1305	2223
185	1311	2214
186	1317	2205
187	1323	2196
188	1328	2186
189	1334	2176
190	1340	2168
191	1345	2158
192	1351	2149
193	1356	2139
194	1363	2131
195	1369	2123
196	1375	2115
197	1381	2106
198	1388	2099
199	1394	2091
200	1400	2083
201	1406	2075
202	1413	2067
203	1418	2058
204	1424	2049
205	1430	2041
206	1436	2032
207	1442	2025
208	1448	2017
209	1455	2009
210	1461	2001
211	1468	1994
212	1474	1986
213	1480	1978
214	1486	1970
215	1493	1963
216	1499	1955
217	1505	1947
218	1511	1939
219	1517	1931
220	1523	1922
221	1529	1915
222	1535	1907
223	1543	1901
224	1549	1893
225	1554	1884
226	1561	1877
227	1567	1869
228	1572	1861
229	1578	1852
230	1583	1844
231	1590	1837
232	1596	1829
233	1602	1822
234	1609	1814
235	1615	1807
236	1621	1799
237	1627	1792
238	1634	1785
239	1641	1777
240	1647	1770
241	1652	1761
242	1658	1753
243	1663	1745
244	1670	1738
245	1675	1730
246	1681	1722
247	1687	1715
248	1693	1707
249	1699	1699
250	1705	1691
251	1710	1683
252	1716	1675
253	1721	1667
254	1727	1660
255	1735	1653
256	1741	1646
257	1747	1639
258	1753	1631
259	1759	1624
260	1766	1617
261	1772	1610
262	1778	1603
263	1785	1596
264	1791	1589
265	1798	1581
266	1804	1574
267	1810	1567
268	1816	1559
269	1822	1552
270	1829	1546
271	1837	1539
272	1844	1533
273	1854	1529
274	1861	1522
275	1868	1516
276	1876	1510
277	1887	1507
278	1893	1499
279	1900	1493
280	1910	1488
281	1919	1483
282	1927	1478
283	1933	1470
284	1940	1463
285	1947	1456
286	1954	1450
287	1960	1443
288	1967	1436
289	1974	1430
290	1982	1423
291	1990	1417
292	1998	1411
293	2006	1405
294	2015	1400
295	2023	1394
296	2029	1387
297	2037	1380
298	2045	1375
299	2053	1368
300	2062	1363
301	2070	1357
302	2078	1351
303	2086	1344
304	2092	1337
305	2098	1330
306	2108	1325
307	2116	1319
308	2122	1312
309	2128	1304
310	2136	1298
311	2145	1292
312	2153	1286
313	2161	1280
314	2167	1272
315	2173	1265
316	2180	1258
317	2186	1251
318	2191	1243
319	2197	1236
320	2203	1228
321	2209	1221
322	2215	1214
323	2221	1206
324	2227	1199
325	2233	1192
326	2238	1184
327	2244	1176
328	2250	1169
329	2256	1162
330	2262	1155
331	2268	1148
332	2275	1141
333	2281	1134
334	2287	1126
335	2292	1119
336	2299	1112
337	2305	1104
338	2310	1097
339	2317	1090
340	2323	1083
341	2329	1076
342	2334	1068
343	2340	1061
344	2345	1053
345	2352	1047
346	2359	1040
347	2364	1032
348	2370	1025
349	2377	1018
350	2383	1011
351	2389	1004
352	2395	997
353	2401	990
354	2406	983
355	2412	975
356	2418	968
357	2424	961
358	2429	954
359	2435	947
360	2442	940
361	2448	933
362	2453	926
363	2459	918
364	2467	912
365	2473	905
366	2480	899
367	2487	892
368	2493	885
369	2499	878
370	2506	871
371	2512	864
372	2518	857
373	2524	850
374	2531	843
375	2537	836
376	2544	830
377	2549	822
378	2554	815
379	2560	808
380	2566	801
381	2572	794
382	2578	787
383	2584	780
384	2591	773
385	2597	767
386	2602	760
387	2608	753
388	2615	746
389	2621	739
390	2627	732
391	2633	725
392	2639	718
393	2645	711
394	2652	705
395	2659	698
396	2664	691
397	2670	684
398	2675	677
399	2681	670
400	2687	663
401	2693	656
402	2699	649
403	2704	642
404	2710	635
405	2717	629
406	2723	622
407	2729	615
408	2735	608
409	2740	601
410	2747	594
411	2752	588
412	2758	581
413	2765	574
414	2770	567
415	2776	560
416	2783	553
417	2789	547
418	2795	540
419	2800	533
420	2806	526
421	2811	519
422	2819	513
423	2824	506
424	2834	500
425	2839	493
426	2844	486
427	2849	479
428	2854	472
429	2859	465
430	2865	458
431	2869	451
432	2874	444
433	2878	437
434	2883	430
435	2887	423
436	2892	416
437	2896	410
438	2906	403
439	2912	397
440	2916	390
441	2922	383
442	2927	376
443	2932	369
444	2938	363
445	2942	356
446	2947	349
447	2952	342
448	2957	335
449	2961	329
450	2966	322
451	2970	315
452	2975	308
453	2979	301
454	2984	295
455	2988	288
456	2993	281
457	2998	274
458	3002	268
459	3007	261
460	3011	254
461	3016	248
462	3021	241
463	3026	234
464	3031	228
465	3036	221
466	3041	214
467	3045	208
468	3049	201
469	3054	194
470	3059	188
471	3066	181
472	3070	175
473	3076	168
474	3081	162
475	3086	155
476	3091	149
477	3096	142
478	3100	135
479	3105	129
480	3109	122
481	3114	116
482	3119	109
483	3123	103
484	3128	96
485	3133	90
486	3137	83
487	3142	77
488	3147	70
489	3151	64
490	3156	57
491	3160	51
492	3165	44
493	3169	38
494	3173	32
495	3178	25
496	3183	19
497	3187	12
498	3192	6
499	3197	0

497	3491	14
498	3497	7
499	3503	0
0
499	4166	0
