iter	Logloss
179	0.175206051
180	0.1751771671
181	0.1742054706
182	0.1724541161
183	0.1712223598
184	0.171126219
185	0.1706488865
186	0.1704331432
187	0.1703136102
188	0.1688903022
189	0.1673708361
190	0.1661466049
191	0.1656270935
192	0.1647249306
193	0.1634912279
194	0.163099713
195	0.163055188
196	0.1628106302
197	0.1623401277
198	0.1622919704
199	0.1622002265
200	0.1620732379
201	0.1613230893
202	0.1599012065
203	0.1598319163
204	0.1596982194
205	0.1584060883
206	0.1582615991
207	0.1571798586
208	0.1563398605
209	0.1556658147
210	0.1547156509
211	0.1546442578
212	0.1541966261
213	0.1537844823
214	0.1536866732
215	0.1532531706
216	0.1520093533
217	0.1508223827
218	0.1507399019
219	0.1501615798
220	0.1493194441
221	0.1484080007
222	0.1477148554
223	0.1465282846
224	0.1454926855
225	0.1445793218
226	0.1438901997
227	0.1428216499
228	0.1427207994
229	0.1426897431
230	0.1426075402
231	0.1420450505
232	0.1414976979
233	0.1407581419
234	0.1402636997
235	0.1397056242
236	0.1396315374
237	0.1393352857
238	0.1389721682
239	0.1385814615
240	0.1385199224
241	0.1374226451
242	0.1373623746
243	0.1363925725
244	0.1355506105
245	0.1353664101
246	0.1352782984
247	0.1344287071
248	0.1344023431
249	0.1332218028
250	0.1320045754
251	0.1314065803
252	0.1304795654
253	0.129729886
254	0.1296651318
255	0.1293475734
256	0.128332916
257	0.1277732503
258	0.1273531296
259	0.1273294855
260	0.1270184529
261	0.1269389699
262	0.1261659071
263	0.1256014188
264	0.1242163012
265	0.1241634516
266	0.1232893732
267	0.1232665111
268	0.1231902693
269	0.1225912575
270	0.1225344976
271	0.121897782
272	0.1212558961
273	0.1201978172
274	0.1197078154
275	0.1188242654
276	0.1183988962
277	0.1181127678
278	0.1175610531
279	0.1173064155
280	0.1169215916
281	0.1161280302
282	0.1156301557
283	0.1155822243
284	0.1151011206
285	0.1142990087
286	0.1134243481
287	0.1133741314
288	0.1131703797
289	0.112351862
290	0.1120160122
291	0.1112343729
292	0.1107382971
293	0.1098793645
294	0.1095035864
295	0.109056224
296	0.108424531
297	0.1081184341
298	0.1073631413
299	0.1073479173
300	0.1069194373
301	0.106794847
302	0.106201579
303	0.1059655543
304	0.1056820502
305	0.1051917356
306	0.1047197558
307	0.1044254245
308	0.1041106555
309	0.1034770507
310	0.1029161772
311	0.1022878905
312	0.1015684854
313	0.1010458806
314	0.1005248051
315	0.1002768323
316	0.0998581367
317	0.09931596304
318	0.09928614931
319	0.09866981063
320	0.09862996051
321	0.09845645694
322	0.09840156527
323	0.09803504148
324	0.09751712895
325	0.09727790657
326	0.09723803038
327	0.09719764151
328	0.09658344914
329	0.09655101118
330	0.09588207486
331	0.09523316787
332	0.09519383912
333	0.09487022416
334	0.0943351759
335	0.09407768817
336	0.09372428555
337	0.09337141299
338	0.09282745798
339	0.09250579817
340	0.09196896856
341	0.09154957776
342	0.09115147627
343	0.09077245696
344	0.09075944006
345	0.09038334043
346	0.09009677757
347	0.08949599313
348	0.08870983523
349	0.08841560822
350	0.08810123022
351	0.08792100097
352	0.08776927333
353	0.08768561067
354	0.08758177095
355	0.08743197239
356	0.08699727935
357	0.08692273199
358	0.08658193786
359	0.08633686744
360	0.08603110075
361	0.08601286146
362	0.08575229763
363	0.085716184
364	0.08568950719
365	0.08539209981
366	0.08467637914
367	0.08427991128
368	0.08392351947
369	0.08388987366
370	0.08359594209
371	0.08309638182
372	0.082968924
373	0.08260631049
374	0.08249660535
375	0.0824731089
376	0.08243971509
377	0.08241830412
378	0.0821803678
379	0.0818575349
380	0.08170213159
381	0.0816686422
382	0.08116411152
383	0.08054726016
384	0.08049438445
385	0.07995482633
386	0.07972595317
387	0.07958178541
388	0.07954431622
389	0.07907209316
390	0.07904366106
391	0.07896923536
392	0.07852418442
393	0.07848530752
394	0.07811032015
395	0.07798697247
396	0.07756975405
397	0.07734499103
398	0.0769120272
399	0.07643497277
400	0.07597493241
401	0.07596611256
402	0.07594152123
403	0.07563008028
404	0.07551632583
405	0.07524170236
406	0.0749616914
407	0.07494684971
408	0.07461888999
409	0.07423978379
410	0.07400886859
411	0.07385198807
412	0.07382424244
413	0.0737123823
414	0.07334596279
415	0.072891336
416	0.07274269314
417	0.07251388515
418	0.07250029475
419	0.07205075567
420	0.07168182055
421	0.07143978711
422	0.07107318078
423	0.07090422183
424	0.07065790446
425	0.07064392737
426	0.07052922142
427	0.07024397068
428	0.07022769521
429	0.07009885576
430	0.07007527241
431	0.06983264809
432	0.06961037461
433	0.06932856927
434	0.06884278622
435	0.06852108296
436	0.06819205878
437	0.06818443807
438	0.06784493434
439	0.06767355101
440	0.06752346569
441	0.06727603172
442	0.06709890028
443	0.06700374139
444	0.06676122135
445	0.06639292055
446	0.06612846382
447	0.06588248535
448	0.06552248305
449	0.06535888987
450	0.0653463509
451	0.06514968108
452	0.06505610369
453	0.06466267716
454	0.06433818456
455	0.06431700821
456	0.06418279864
457	0.06389971593
458	0.0638839097
459	0.06386627433
460	0.0637822076
461	0.06340340119
462	0.0633908796
463	0.06296216929
464	0.06262055835
465	0.06220656373
466	0.06219413338
467	0.06199327956
468	0.06184997641
469	0.0616337856
470	0.06160572715
471	0.06158997306
472	0.06138333202
473	0.06131394189
474	0.06079768036
475	0.06061111646
476	0.06028595042
477	0.06027396323
478	0.05990139589
479	0.05974454578
480	0.05961809594
481	0.05927759726
482	0.05926302929
483	0.05908426422
484	0.05881345111
485	0.05879627193
486	0.05856955377
487	0.05827192916
488	0.05805536035
489	0.05782996299
490	0.05782486659
491	0.05751299552
492	0.05738116687
493	0.05704835406
494	0.05694568743
495	0.05680872762
496	0.05674277854
497	0.05658087548
498	0.05632715899
499	0.05620886427
5
499	0.04736975364
